token:16781129 lambda:0.999860
token:16810320 lambda:0.000221
token:16809797 lambda:0.013917
token:50336373 lambda:0.084547
token:16787638 lambda:0.996840
token:16855787 lambda:0.000168
token:16861965 lambda:0.000001
token:16797613 lambda:0.000240
token:16822765 lambda:0.000027
token:16818715 lambda:0.000818
token:50357241 lambda:0.000240
token:16786371 lambda:0.003412
token:16786084 lambda:0.126102
token:50341561 lambda:0.999977
token:16786808 lambda:0.086528
token:16850936 lambda:0.000240
token:16808269 lambda:0.031697
token:16803235 lambda:0.000067
token:16815234 lambda:0.001144
token:16810655 lambda:0.003055
token:50348462 lambda:0.000218
token:16811670 lambda:0.000047
token:16798849 lambda:0.000350
token:16815998 lambda:0.001013
token:16781629 lambda:0.999971
token:16795975 lambda:0.023242
token:16826701 lambda:0.000045
token:16823359 lambda:0.000016
token:16800069 lambda:0.000133
token:50342712 lambda:0.000530
token:16811563 lambda:0.000670
token:50334715 lambda:0.002870
token:16855817 lambda:0.000240
token:16862981 lambda:0.000053
token:16800611 lambda:0.000019
token:50344705 lambda:0.000182
token:16800981 lambda:0.000220
token:16807720 lambda:0.151643
token:16780882 lambda:0.000234
token:16853689 lambda:0.000240
token:16801655 lambda:0.002621
token:33561917 lambda:0.000018
token:50352326 lambda:0.000144
token:16786685 lambda:0.000160
token:16820764 lambda:0.001119
token:16799926 lambda:0.000395
token:16818187 lambda:0.000798
token:16825359 lambda:0.000084
token:16825128 lambda:0.009031
token:16830208 lambda:0.000010
token:16780193 lambda:0.812868
token:16810046 lambda:0.000079
token:16846869 lambda:0.000004
token:16790981 lambda:0.001079
token:16786938 lambda:0.004470
token:50341129 lambda:0.000518
token:50333147 lambda:0.000369
token:16811308 lambda:0.000626
token:16779047 lambda:0.001457
token:16791308 lambda:0.001204
token:16787209 lambda:0.000240
token:16793887 lambda:0.000301
token:16778990 lambda:0.000174
token:16791260 lambda:0.000001
token:16787121 lambda:0.999853
token:16779238 lambda:0.101716
token:16788842 lambda:0.001629
token:50339637 lambda:0.000121
token:16781146 lambda:0.998890
token:16796760 lambda:0.000291
token:16792985 lambda:0.002351
token:16828683 lambda:0.008010
token:50341512 lambda:0.000400
token:16801983 lambda:0.000439
token:16801131 lambda:0.001361
token:16797347 lambda:0.000232
token:16807175 lambda:0.000042
token:16828698 lambda:0.000614
token:33554524 lambda:0.001446
token:16777368 lambda:0.029418
token:16860799 lambda:0.000001
token:16832515 lambda:0.000240
token:16812589 lambda:0.000668
token:16815579 lambda:0.000200
token:16784002 lambda:0.004136
token:16858227 lambda:0.000050
token:16801612 lambda:0.000474
token:50340717 lambda:0.000259
token:16779889 lambda:0.097970
token:16802018 lambda:0.000871
token:16814360 lambda:0.000148
token:16847598 lambda:0.000500
token:16796870 lambda:0.000221
token:16805315 lambda:0.000746
token:50340757 lambda:0.118230
token:16810116 lambda:0.001542
token:16826364 lambda:0.008642
token:16829727 lambda:0.000308
token:16791850 lambda:0.005673
token:16806902 lambda:0.000096
token:50348193 lambda:0.000240
token:50336275 lambda:0.475810
token:16784288 lambda:0.993774
token:50344359 lambda:0.000458
token:50339819 lambda:0.000285
token:16813006 lambda:0.716364
token:16811023 lambda:0.000115
token:16792425 lambda:0.220905
token:16867685 lambda:0.000515
token:16777238 lambda:0.659628
token:16780495 lambda:0.053073
token:16822231 lambda:0.000293
token:16845518 lambda:0.000240
token:16781078 lambda:0.778622
token:16805405 lambda:0.018284
token:16826024 lambda:0.001574
token:50344489 lambda:0.000120
token:16804575 lambda:0.097396
token:16825452 lambda:0.001069
token:50350796 lambda:0.000202
token:16830497 lambda:0.000098
token:16851628 lambda:0.000240
token:16818139 lambda:0.000977
token:16795814 lambda:0.003422
token:50339830 lambda:0.011411
token:50342691 lambda:0.002650
token:16821482 lambda:0.000239
token:16803142 lambda:0.000110
token:16857242 lambda:0.000240
token:50345187 lambda:0.001073
token:16803529 lambda:0.000201
token:16789462 lambda:0.000261
token:16855820 lambda:0.000566
token:16816477 lambda:0.766389
token:50348204 lambda:0.002357
token:16794621 lambda:0.000256
token:16797929 lambda:0.000088
token:50342589 lambda:0.001366
token:16780028 lambda:0.000963
token:16811559 lambda:0.998193
token:16825987 lambda:0.001739
token:16781110 lambda:0.024985
token:16864822 lambda:0.000118
token:16802948 lambda:0.201755
token:16842189 lambda:0.000240
token:16838971 lambda:0.000150
token:16794654 lambda:0.000417
token:16794292 lambda:0.003038
token:16820970 lambda:0.000001
token:16809870 lambda:0.000156
token:16854396 lambda:0.000091
token:16849538 lambda:0.263783
token:16852138 lambda:0.000240
token:16797533 lambda:0.000935
token:16809009 lambda:0.000085
token:16825958 lambda:0.000001
token:16858282 lambda:0.000007
token:50345448 lambda:0.034452
token:50352714 lambda:0.000001
token:16853354 lambda:0.000147
token:16785605 lambda:0.000524
token:16795649 lambda:0.000291
token:16824746 lambda:0.000052
token:50359686 lambda:0.986734
token:50339984 lambda:0.599365
token:16789699 lambda:0.000564
token:16780817 lambda:0.000190
token:16778290 lambda:0.028598
token:16779028 lambda:0.347626
token:16795102 lambda:0.038811
token:16829013 lambda:0.000656
token:16804623 lambda:0.000346
token:50351186 lambda:0.000496
token:16812268 lambda:0.132283
token:50341702 lambda:0.000546
token:50354190 lambda:0.000031
token:16818876 lambda:0.000633
token:16787412 lambda:0.649336
token:16856269 lambda:0.000133
token:50346268 lambda:0.000476
token:16815856 lambda:0.001484
token:16779140 lambda:0.961955
token:16815213 lambda:0.000585
token:16792817 lambda:0.000119
token:16830438 lambda:0.000001
token:16867136 lambda:0.000339
token:16792259 lambda:0.000378
token:16857246 lambda:0.026064
token:16808082 lambda:0.001200
token:16781255 lambda:0.000161
token:50342895 lambda:0.001398
token:16806709 lambda:0.002128
token:16820753 lambda:0.000240
token:16809331 lambda:0.000153
token:16809923 lambda:0.000586
token:16813827 lambda:0.002329
token:16791469 lambda:0.171021
token:16805793 lambda:0.001492
token:16788722 lambda:0.001176
token:16778789 lambda:0.000686
token:16809989 lambda:0.000001
token:16783887 lambda:0.001235
token:16816496 lambda:0.007444
token:16825478 lambda:0.001589
token:16812269 lambda:0.000545
token:16816140 lambda:0.000280
token:16804883 lambda:0.000062
token:50349717 lambda:0.001517
token:50356146 lambda:0.003428
token:50352703 lambda:0.000232
token:16787692 lambda:0.000467
token:16814022 lambda:0.000168
token:50344648 lambda:0.000848
token:50349400 lambda:0.000068
token:16803731 lambda:0.000001
token:16808664 lambda:0.000500
token:16801222 lambda:0.000138
token:16786884 lambda:0.405030
token:16863447 lambda:0.000240
token:16805385 lambda:0.001198
token:16815437 lambda:0.000974
token:16818175 lambda:0.000376
token:50339298 lambda:0.000268
token:16788779 lambda:0.000615
token:16783709 lambda:0.041175
token:50350154 lambda:0.000130
token:16796218 lambda:0.999379
token:16778102 lambda:0.997560
token:16813592 lambda:0.000293
token:50333415 lambda:0.000493
token:50345893 lambda:0.000447
token:16813809 lambda:0.001244
token:16803247 lambda:0.000311
token:16782254 lambda:0.200524
token:16823871 lambda:0.000199
token:16866022 lambda:0.000046
token:16784736 lambda:0.023055
token:16786676 lambda:0.000440
token:16797080 lambda:0.000129
token:16792085 lambda:0.000113
token:16828971 lambda:0.000310
token:16824573 lambda:0.000068
token:16797091 lambda:0.000036
token:16798471 lambda:0.998385
token:16778983 lambda:0.075671
token:16823457 lambda:0.000007
token:16825634 lambda:0.192090
token:16807783 lambda:0.001099
token:16808880 lambda:0.000503
token:50341858 lambda:0.000434
token:50345998 lambda:0.000168
token:50345848 lambda:0.000347
token:50340187 lambda:0.000368
token:16802431 lambda:0.010512
token:16792890 lambda:0.000001
token:16803061 lambda:0.001121
token:16800509 lambda:0.000268
token:16804580 lambda:0.017905
token:16795913 lambda:0.000437
token:16808241 lambda:0.030144
token:16779352 lambda:0.998238
token:16803198 lambda:0.000013
token:16812723 lambda:0.000114
token:16808680 lambda:0.000343
token:16798749 lambda:0.000159
token:16806500 lambda:0.000579
token:16853050 lambda:0.000642
token:16824221 lambda:0.000007
token:33554597 lambda:0.909240
token:16861679 lambda:0.000002
token:16789909 lambda:0.000761
token:16816313 lambda:0.325384
token:50335957 lambda:0.001305
token:16785709 lambda:0.090443
token:16868187 lambda:0.005673
token:50337368 lambda:0.000313
token:16795997 lambda:0.000170
token:50341254 lambda:0.000084
token:50355817 lambda:0.000177
token:16780925 lambda:0.014030
token:16866782 lambda:0.000013
token:16801272 lambda:0.999709
token:50334694 lambda:0.000336
token:50345860 lambda:0.000721
token:16803525 lambda:0.600621
token:16786798 lambda:0.998833
token:16779469 lambda:0.232488
token:50333170 lambda:0.000128
token:16800216 lambda:0.259071
token:16797116 lambda:0.000234
token:16795049 lambda:0.000173
token:16791832 lambda:0.000954
token:16783292 lambda:0.658217
token:50357212 lambda:0.000053
token:16797817 lambda:0.000053
token:50336482 lambda:0.000222
token:16781469 lambda:0.478896
token:50335908 lambda:0.000292
token:16787097 lambda:0.551271
token:16805742 lambda:0.000456
token:33559602 lambda:0.993306
token:16826345 lambda:0.000057
token:16779404 lambda:0.070332
token:16791897 lambda:0.000097
token:16792039 lambda:0.000194
token:16814098 lambda:0.000940
token:16823773 lambda:0.000337
token:50357662 lambda:0.999270
token:16783612 lambda:0.005039
token:50341143 lambda:0.003203
token:16787442 lambda:0.514513
token:50340338 lambda:0.032182
token:33555952 lambda:0.998028
token:16804598 lambda:0.000508
token:16818866 lambda:0.001081
token:16788098 lambda:0.003157
token:50347670 lambda:0.001554
token:50343175 lambda:0.000409
token:16863250 lambda:0.000222
token:16784772 lambda:0.067225
token:50359522 lambda:0.000684
token:16830385 lambda:0.000916
token:16790409 lambda:0.000559
token:16806513 lambda:0.032824
token:16793866 lambda:0.000606
token:16818414 lambda:0.000774
token:16809064 lambda:0.001388
token:16803077 lambda:0.001812
